商品類別,商品id,商品title,商品text,商品img_1,商品img_2,商品img_3,商品img_4,商品img_5,商品price,商品discount,商品pcs
帳篷,m_tent1_1,【TAS極限運動】戶外露營專用速開式帳蓬(戶外露營篷 3-4人 露營 家庭旅遊 野餐 帳篷 防水防風 防蚊蟲),"3秒 速開搭建 輕巧便攜
高密度防蟲紗窗，通風透氣
雙門附有天窗蓋 通風性能好",m_tent1_1.webp,m_tent1_2.webp,m_tent1_3.webp,m_tent1_4.webp,m_tent1_5.webp,"1,200 ",731 ,1
露營燈,m_clight1_1,【aibo】USB充電式 360°照明 復古LED露營燈(長效續航),"超亮COB LED燈，大功率照
勾環設計，方便手提/吊掛/平放
可充電式設計，環保節能",m_clight1_1.webp,m_clight1_2.webp,m_clight1_3.webp,m_clight1_4.webp,m_clight1_5.webp,990 ,364 ,1
睡袋,m_sbag1_1,【LONEPINE】加大款 全開式保暖睡袋 防水極地PRO/睡袋/冬季/保暖/露營(兩色任選),"▲高強度防撕裂防潑水格紋布
▲極限溫度可達-10度
▲收納輕巧,方便攜帶",m_sbag1_1.webp,m_sbag1_2.webp,m_sbag1_3.webp,,,"2,980 ","1,111 ",1
